0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2400322364771558,IRO1TAMN0001,شستا,سرمايه گذاري تامين اجتماعي,120505,943,949,945,8756,402934152,382486581086,943,963,948,139,126582278,8016,1,39,995.00,901.00,1636013456000,300
35366681030756042,IRO1PNBA0001,شبندر,پالايش نفت بندرعباس,120505,9200,9150,9080,3395,40343578,369282407950,9080,9200,9180,1278,13071895,6597,1,23,9730.00,8630.00,134341922000,300
35700344742885862,IRO1GOLG0001,كگل,معدني و صنعتي گل گهر,120506,13710,13750,13750,802,6596808,90679093780,13600,13800,13750,1032,8727273,3579,1,13,14570.00,12930.00,200000000000,300
46348559193224090,IRO1FOLD0001,فولاد,فولاد مباركه اصفهان,120503,11320,11160,11110,7223,62494163,697465686060,11070,11320,11440,2411,10489510,7385,1,27,12120.00,10760.00,293000000000,300
65883838195688438,IRO1IKCO0001,خودرو,ايران‌ خودرو,120506,2159,2202,2205,11822,552484010,1216713911853,2159,2205,2100,-432,57142857,8577,1,34,2205.00,1995.00,301656068000,300
