0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2400322364771558,IRO1TAMN0001,شستا,سرمايه گذاري تامين اجتماعي,122117,943,949,944,9784,443984230,421269697912,943,963,948,139,126582278,6687,1,39,995.00,901.00,1636013456000,300
35366681030756042,IRO1PNBA0001,شبندر,پالايش نفت بندرعباس,122116,9200,9130,8990,4077,47701843,435731281130,8980,9200,9180,1278,13071895,5723,1,23,9730.00,8630.00,134341922000,300
35700344742885862,IRO1GOLG0001,كگل,معدني و صنعتي گل گهر,122114,13710,13740,13760,1016,8777075,120631063430,13600,13800,13750,1032,8727273,3592,1,13,14570.00,12930.00,200000000000,300
46348559193224090,IRO1FOLD0001,فولاد,فولاد مباركه اصفهان,122117,11320,11150,11100,7915,74134052,826687100040,11070,11320,11440,2411,10489510,6355,1,27,12120.00,10760.00,293000000000,300
65883838195688438,IRO1IKCO0001,خودرو,ايران‌ خودرو,122114,2159,2202,2205,12674,576535015,1269744180268,2159,2205,2100,-432,57142857,7252,1,34,2205.00,1995.00,301656068000,300
