0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
3863538898378476,IRO1MSKN0001,ثمسكن,سرمايه‌گذاري‌ مسكن‌,122024,3422,3363,3290,326,6414649,21572622733,3271,3480,3305,57,4538578,2999,1,70,3503.00,3107.00,6300000000,300
4159532151694984,IRO7FBSP0001,فبستم,صنايع ‌بسته‌بندي‌ مشهد,121707,17260,17720,17260,35,76357,1317921820,17260,17260,17790,179,562114,2702,4,28,18320.00,17260.00,282711334,309
4247709727327181,IRO3KARZ0001,مفاخر,توسعه فناوري اطلاعات خوارزمي,61123,0,38350,38250,0,0,0,0,0,38350,-512,1,4024,2,72,40650.00,36050.00,170000000,303
4267564158935326,IRO7BSOP0001,قيستو,شركت قند بيستون,120938,19370,19170,19370,22,345645,6695143650,19370,19370,18810,1674,531633,2969,4,38,19370.00,18250.00,480000000,309
4369934250728330,IRO1ZARM0001,غزر,صنعتي زر ماكارون,122057,8710,9070,9020,4009,15316240,138916938730,8710,9130,8700,541,3200000,4058,1,42,9130.00,8270.00,8000000000,300
4384288570322406,IRO1EXIR0001,دلر,داروسازي‌ اكسير,122007,20230,19980,19650,336,598269,11876138990,19550,20230,20230,3593,900000,3004,1,43,21240.00,19220.00,2250000000,300
4395741730355818,IRT3VC090001,استارز,ص.ج.ستاره برتر20%تاديه,61133,0,117640,118300,0,0,0,0,0,117640,,1,1809,2,68,129404.00,105876.00,1000000,305
4470657233334072,IRO1SKHS0001,سخاش,سيمان‌خاش‌,121905,60900,58940,59450,509,386557,22781991120,58500,60900,61570,8003,243625,3031,1,53,64640.00,58500.00,200000000,300
4507558419857064,IRO3MACZ0001,زماهان,مجتمع توليد گوشت مرغ ماهان,121827,7110,7120,7100,306,1376563,9850921260,6950,7350,7050,822,2127660,3080,2,01,7470.00,6630.00,1130000000,303
4528607775462304,IRO1SFNO0001,سفانو,سيمان فارس نو,122043,35610,34870,34600,214,720803,25131111500,34510,35990,36250,5366,413793,2896,1,53,38420.00,34080.00,500000000,300
4563413583000719,IRO1SDAB0001,ساراب,سيمان‌ داراب‌,122030,16150,16490,15970,136,327010,5275115030,15970,16600,16690,2284,898742,2759,1,53,17690.00,15690.00,1260000000,300
4580070394108829,IRT3KARF0004,كارا4,صندوق س. كارا -د,100137,11606,11606,11606,1,25840000,299899040000,11606,11606,11589,,1,320,2,68,12219.00,10004.00,100000000,305
4614779520007780,IRO1ARDK0001,كسرا,سراميك‌هاي‌صنعتي‌اردكان‌,122054,7260,7250,7260,767,13486357,97783425460,7150,7430,7230,461,2074689,3841,1,54,7660.00,6800.00,3671273000,300
4733285133017464,IRO1FKAS0001,فخاس,فولاد خراسان,122042,20610,21070,20430,231,328475,6752209470,20350,21080,21110,2651,4737091,2698,1,27,22160.00,20060.00,11900000000,300
4758266259250794,IRO1SZPO0001,خپويش,سازه‌ پويش‌,121915,18770,19090,19160,591,2678026,51128560780,18770,19160,18250,932,821918,3248,1,34,19160.00,17340.00,1764061944,300
4942127026063388,IRO1BAMA0001,كاما,باما,122118,5980,5840,5750,2706,20387478,119068825660,5730,6060,6080,339,4000000,4057,1,13,6440.00,5720.00,10000000000,300
5051727550286539,IRT3SOVF0002,ثبات2,صندوق س. ثبات ويستا -د,90340,1,1,1,19,90400000,90400000,1,1,11796,,1,335,2,68,1.00,1.00,4000000000,305
5054819322815158,IRO1MAGS0001,زمگسا,كشاورزي‌ ودامپروي‌ مگسال‌,122103,20900,20950,20900,452,1018845,21345190080,20500,21500,20910,0,717360,2946,1,01,21950.00,19870.00,300000000,300
5128151910501174,IRO7HFZP0001,وحافظ,بيمه حافظ,121906,12860,12840,12810,456,4535479,58223348930,12810,13480,13200,52,757576,3624,4,66,13590.00,12810.00,500000000,309
5187018329202415,IRO1PELC0001,لپارس,پارس‌ الكتريك‌,122109,87000,85070,84040,3709,2211696,188156105240,83740,89000,88140,1382,170184,4483,1,32,92540.00,83740.00,300000000,300
5305844922895340,IRO3AVLZ0001,داوه,داروسازي آوه سينا,121431,6750,6890,6730,138,479483,3272908380,6730,6990,6910,310,2170768,2631,2,43,7320.00,6500.00,696000000,303
5317427172344706,IRO3HEDZ0001,هجرت,پخش هجرت,122106,17720,17220,17000,192,458495,7846495490,16980,17720,17330,2623,865552,2687,2,43,18190.00,16470.00,1600000000,303
5427792638736934,IRO3FAAZ0001,زفكا,كشت و دامداري فكا,122116,8100,7950,7880,500,3737531,29713895980,7700,8100,8060,0,1861043,3231,2,01,8540.00,7580.00,1500000000,303
5516102131364383,IRO3MNOZ0001,غمينو,شركت صنايع غذايي مينو شرق,122052,5330,5430,5450,390,3280715,17807598980,5310,5570,5430,579,1,3036,2,42,5750.00,5110.00,1500000000,303
5564768007356822,IRO3HRLZ0001,حريل,ريل پردازسير,122030,3000,3018,3010,355,6279557,18954698554,3000,3068,3009,195,4985045,3078,2,60,3189.00,2829.00,3732150000,303
5599691633622269,IRO3MLIZ0001,بخاور,بيمه زندگي خاورميانه,121757,2288,2254,2232,92,1045614,2339475725,2212,2288,2257,123,6645991,2536,2,66,2392.00,2122.00,2200000000,303
5866848234665627,IRO1DSBH0001,دسبحان,سبحان دارو,122038,7990,7620,7610,300,3767601,28719497850,7580,7990,7970,743,1882058,2599,1,43,8360.00,7580.00,2430000000,300
5920901446678689,IRO3TAVZ0001,وتعاون,بيمه تعاون,121833,1272,1301,1290,137,1906598,2453461893,1272,1302,1304,92,11503068,2384,2,66,1369.00,1239.00,5000000000,303
5987841496184505,IRO3TPEZ0001,شگويا,پتروشيمي تندگويان,122117,10560,10490,10470,2217,9680303,101569578680,10370,10720,10750,1371,9583067,4924,2,44,11280.00,10220.00,23957666000,303
6043384171800349,IRO1PMSZ0001,ثشرق,سرمايه گذاري مسكن شمال شرق,122104,3700,3640,3593,149,1618171,5859831438,3593,3700,3652,-45,4107338,2665,1,70,3834.00,3470.00,1100000000,300
6116572045021585,IRO3TJPZ0001,شجم,صنايع پتروشيمي تخت جمشيد,122115,9880,10100,9700,464,2107722,21292770040,9690,10550,10120,1078,1,2655,2,44,10620.00,9620.00,6500000000,303
6131290133202745,IRO1MRAM0001,غمهرا,توليدي‌مهرام‌,121802,12550,12550,12550,106,1631928,20480696400,12550,12550,11960,912,1254181,2717,1,42,12550.00,11370.00,1000000000,300
6478064539164167,IRO3RPEZ0001,ريشمك,توليد و صادرات ريشمك,122043,20400,20710,20770,421,1065888,22079604270,20070,20770,19600,940,1,3244,2,43,20770.00,18430.00,300000000,303
6506179926371994,IRO7PAIP0001,آريان,سرمايه گذاري پارس آريان,122121,7500,7540,7390,243,1689497,12608183140,7380,7700,7550,108,15894040,3443,4,56,7770.00,7330.00,40000000000,309
6757220448540984,IRO1SIMS0001,سشمال,سيمان‌ شمال‌,122113,9060,9030,8780,224,1245594,11211657630,8800,9150,9100,1128,1648352,4794,1,53,9640.00,8560.00,1700000000,300
6847536925606808,IRO3MOIZ0001,ومعلم,بيمه معلم,121852,1910,1953,1930,137,1861109,3573538183,1880,1965,1964,160,7637475,2780,2,66,2062.00,1866.00,4194722000,303
7183333492448248,IRO1DARO0001,وپخش,داروپخش‌ (هلدينگ‌,122041,36100,36070,36100,124,212741,7656129340,34750,36200,36080,5296,1420000,2624,1,43,38240.00,33920.00,3550000000,300
7235435095059069,IRO1KVRZ0001,پكوير,كوير تاير,122054,4860,4970,4865,188,1083727,5346456211,4860,5048,4990,567,3006012,2802,1,25,5289.00,4691.00,4360000000,300
7300125658580126,IRO3IKAZ0001,زكشت,كشاورزي مكانيزه اصفهان كشت,122014,18100,18990,18770,388,977649,18569367570,18000,19500,18500,0,1,3071,2,01,19610.00,17390.00,300000000,303
7385624172574740,IRO1RENA0001,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,122117,6640,6740,6730,3929,103391259,696382391450,6470,6740,6360,267,4670043,4736,1,34,6740.00,5980.00,11675108000,300
7395271748414592,IRO1IKHR0001,وخارزم,سرمايه گذاري خوارزمي,122118,4280,4487,4507,3941,61402837,275514808469,4280,4530,4274,925,7480000,4728,1,56,4530.00,4018.00,18700000000,300
7457232989848872,IRO1TMKH0001,خمحور,توليدمحورخودرو,122018,3108,3110,3115,358,8857340,27548004011,3015,3115,2967,35,5055612,3742,1,34,3115.00,2819.00,6325419000,300
7483280423474368,IRO1ATIR0001,خاهن,آهنگري‌ تراكتورسازي‌ ايران‌,122104,6170,6190,6100,512,3502676,21612005610,6040,6370,6230,466,5767443,3271,1,34,6600.00,5860.00,14418606750,300
7503669593172728,IRO7SESP0001,ثاصفا,شركت‌ ساختمان‌ اصفهان‌,122108,10940,11170,11210,218,1664923,18601023480,10860,11350,11190,-24,800000,3006,4,70,11520.00,10860.00,160000000,309
7628308021169118,IRO3KAHZ0001,بكهنوج,توليد برق ماهتاب كهنوج,121956,1188,1184,1180,431,13535211,16026073136,1161,1203,1203,-640,12468828,3215,2,40,1263.00,1143.00,16050495533,303
7670135462634715,IRT3GONF0001,گنبد,صندوق س. گنبد ميناي دماوند-م,122035,10938,10938,10940,4,3821,41794298,10938,10940,10987,,1,1596,2,68,12085.00,9889.00,200000000,305
7711282667602555,IRO1PARK0001,شاراك,پتروشيمي شازند,122109,45600,45260,44710,1682,3556241,160962636220,44690,45800,45610,6832,2192502,5780,1,44,48340.00,42880.00,8064000000,300
7745894403636165,IRO1PNES0001,شپنا,پالايش نفت اصفهان,122118,6840,6730,6640,8075,117245937,788812498430,6610,6870,6860,826,17492711,6546,1,23,7270.00,6450.00,190000000000,300
7920014658832193,IRO7GRDZ0001,وگردش,بانك گردشگري,121936,11120,11090,11050,461,7013693,77766768450,11050,11360,11390,595,6000000,2889,4,57,11730.00,11050.00,15000000000,309
8175784894140974,IRO3PZAZ0001,فزر,پويا زركان آق دره,122119,27500,26900,26700,3571,8381796,225457599250,26500,27750,28000,6907,1,4305,2,13,29650.00,26350.00,3000000000,303
8646067353086740,IRO3BLSZ0001,بالاس,مهندسي ساختمان تاسيسات راه آهن,122105,26100,25950,25550,642,1335212,34627567900,25500,26450,26300,96,1,3812,2,45,27600.00,25000.00,150000000,303
8725363201030474,IRO3IZIZ0001,فگستر,گسترش صنايع روي ايرانيان,122117,9000,8650,8660,1721,8104226,70098009190,8590,9000,9040,542,1,3607,2,27,9490.00,8590.00,1000000000,303
8915450910866216,IRO1DZAH0001,دزهراوي,داروسازي‌زهراوي‌,122006,4236,4309,4288,398,2431693,10529351594,4049,4443,4262,228,3519474,2802,1,43,4475.00,4049.00,3204000000,300
8977369674477111,IRO1TBAS0001,كطبس,ذغال‌سنگ‌ نگين‌ ط‌بس‌,121948,20500,21090,20780,159,671834,14179980730,20200,21640,20840,1735,719770,2984,1,10,21880.00,19800.00,785000000,300
8977441217024425,IRO1SEPA0001,فسپا,گروه‌صنعتي‌سپاهان‌,122044,16580,16410,16480,431,2202455,36149339370,16210,16620,16620,3345,902527,3648,1,27,17450.00,15790.00,1300000000,300
9141577977527107,IRO7VIRP0001,وايرا,سرمايه گذاري صنايع ايران,121811,1774,1798,1769,101,2764624,4903243081,1769,1803,1823,236,5485464,2337,4,56,1877.00,1769.00,2200000000,309
9536587154100457,IRO1BPAS0001,وپاسار,بانك  پاسارگاد,121941,9010,9010,9020,561,16782351,151161960700,8790,9030,9020,1229,13303769,3497,1,57,9560.00,8480.00,131040000000,300
9698674686691945,IRO1KPRS0001,كپارس,كاشي‌ پارس‌,121937,8100,8400,8380,353,1707665,14343771910,8100,8570,8330,747,1800720,3191,1,49,8740.00,7920.00,1635471000,300
9761381741308262,IRO7SHOP0001,وشمال,س. چشم انداز توسعه شمال,121648,23750,23750,23750,466,1304077,30987816150,23750,24250,24200,-117,206612,3202,4,56,24650.00,23750.00,121900000,309
9987529074833218,IRO7ABYP0001,آبين,كشت و صنعت آبشيرين,121947,5510,5510,5510,702,15952701,87840323720,5350,5510,5350,0,1869159,3302,4,01,5510.00,5190.00,1802615058,309
10024128313803797,IRO3GDSZ0001,زگلدشت,كشت و دام گلدشت نمونه اصفهان,122105,8670,9120,8940,521,2022008,18441734510,8670,9370,8990,0,1668521,3499,2,01,9520.00,8460.00,700000000,303
10055255678920880,IRO7MIVP0001,وملت,سرمايه گذاري ملت,121859,2151,2179,2151,25,795981,1712155131,2151,2151,2194,77,2278943,2510,4,56,2237.00,2151.00,1000000000,309
10114441830266109,IRO3DCAZ0001,گدنا,تهيه توزيع غذاي دنا آفرين فدك,122111,13480,12810,12610,2006,3321023,42557753910,12600,13480,13260,498,1,3064,2,55,13920.00,12600.00,300000000,303
10120557300120078,IRO1SHND0001,پسهند,صنايع‌ لاستيكي‌  سهند,122045,35710,35340,34940,218,484881,17134956560,34930,36680,36760,3748,408052,2989,1,25,38590.00,34930.00,350000000,300
10145129193828624,IRT1CNGF0001,نگين,ص.س. زمين و ساختمان نگين شهرري,120251,62430,62400,62400,5,19999,1247982600,62400,62430,62950,,1,1741,1,68,125900.00,10.00,27000000,305
10171945867136336,IRO1SITA0001,سيتا,سرمايه گذاري سيمان تامين,122114,11310,11100,10970,1980,5231390,58070568480,10900,11560,11470,1266,4400000,3551,1,53,12040.00,10900.00,11000000000,300
10367678011039964,IRT1SDVI0002,تصميم2,صندوق س با درآمد ثابت تصميم,91230,1,1,1,1,2000000,2000000,1,1,20201,,1,246,1,68,1.00,1.00,500000000,305
10568944722570445,IRO1SEFH0001,سصفها,سيمان‌اصفهان‌,122114,59500,63940,61750,2178,2531856,161896397880,59500,64840,61780,1685,242797,3940,1,53,64860.00,58700.00,500000000,300
10654052153538617,IRO7ABGP0001,كابگن,توليدي و صنعتي آبگينه‌,110624,8630,8710,8630,5,2476,21367880,8630,8630,8710,554,287027,2371,4,54,8790.00,8630.00,93900000,309
